"id","vod_title","tv_title","label","fn","n","part_id"
"0001597888f8ce634524147814f7235b","すばらしきこのせかいTheAnimation","新サクラ大戦theAnimation",1,"0.5-0.6-dup",5481,2
"0006acc1df03099911d8925a6565ff7c","発見ファミリー・ルーツ","リバーズ・エッジ",1,"0.3-0.4-dup",97954,1
"0009e19acb19965b0de1e21f820b840c","第期棋聖戦挑戦手合七番勝負第局日目","第期王将戦七番勝負第局日目",1,"0.7-0.8-dup",750,1
"000c01731c799b87ffb236d0af80585a","ボーン・アイデンティティー","プルーブン・イノセント冤罪弁護士",1,"0.3-0.4-dup",97954,1
"000cd5524a053ad6d8456dac893ad3ca","クイーンロック・レジェンズ","ジミ・ヘンドリックスロック・レジェンズ",1,"0.6-0.7-dup",1887,2
"00120aed4be352a70a9d96ca91ea579b","第期新人王戦決勝三番勝負第局","第期棋聖戦挑戦手合七番勝負第局日目",1,"0.5-0.6-dup",5481,2
"001498a611a531ab5d6772d82b0f4d30","シンクロ・ダンディーズ","サイクロンZ",1,"0.3-0.4-dup",97954,2
"00152fb0c8d0780d39e790347ea01854","ガーリー・エアフォース","東京ラブストーリー",1,"0.3-0.4-dup",97954,3
"0015e08d29029f7256bca09006d30c7a","スーパーウィングス","スーパーサラリーマン左江内氏",1,"0.4-0.5-dup",17407,3
"001a30b74940ce7bc569152bf1c2c97c","アメリカン・アニマルズ","アメリカの災難",1,"0.4-0.5-dup",17407,2
"002684db4f00219b32f7eebd0e077439","新ポリス・ストーリー","ナイト・ストーム",1,"0.4-0.5-dup",17407,1
"002c9076ada19cc29f651d4f0bf77512","セクシータイム・リバース魅惑のボディと時をかける快感","セクシータイム・リターン貪欲ビンカン美女と時をかける絶頂",2,"0.5-0.6-dup",5481,3
"00328127a32846da73ca15833e467e9e","名探偵ポワロクラブのキング","名探偵ポワロエジプト墳墓のなぞ",2,"0.5-0.6-dup",5481,2
"00340576d9ff3edefb4902134fa5ac79","インディアン・ピンク","マンディンゴ",1,"0.5-0.6-dup",5481,1
"00355f4437ccbc410488b41e8d0a0162","新・ミナミの帝王ニンベンの女","新・ミナミの帝王失われた絆",3,"0.5-0.6-dup",5481,2
"003837153d767c0eb326c89bb9461361","チュノ推奴","ナチュラル",1,"0.4-0.5-dup",17407,3
"003a88792bb11698d3988c1e1f34fb30","SALTX和歌山県串本デイゲームのランガンエギング","RUNGUNSALT愛媛県佐田岬アジング",1,"0.3-0.4-dup",97954,3
"003af903d6870edd6d2a857905a3bcc5","RUNGUNSALT山口瀬戸内アジングゲーム","RUNGUNSALT東京荒川リバーシーバス",3,"0.5-0.6-dup",5481,1
"003b390eec7bb95b1ca8e6eb8eb203de","デンジャラス・チェイス","シャークネードラスト・チェーンソー",1,"0.4-0.5-dup",17407,3
"003e65eda9cd5e3b887558fba498dfae","DzSALTND熊本県天草タイラバゲーム","DzSALT駿河湾・ディープタイラバゲーム",3,"0.6-0.7-dup",1887,2
"003ed92606a7341d91ecce25c0d61e28","ああラブホテル","ホテル",1,"0.6-0.7-dup",1887,1
"003f4e7395d8e3d40052d86eb1a066c7","グレートウォール","ベイブレードバーストガチ",1,"0.3-0.4-dup",97954,3
"004111031991afc28533f2311e9c5393","スリーパーズ","スクリーム",1,"0.5-0.6-dup",5481,1
"0041fb1f0c333587c5ba60f72196e9fc","マイ・インターン","ケイティ・キーン",1,"0.5-0.6-dup",5481,1
"0041fcadaf0e7c4d156a05707eceb785","ボーン・レガシー","トゥルーマン・ショー",1,"0.5-0.6-dup",5481,3
"0049ba7513855aa92def1ed4801cf5d3","ALIアリ","AI崩壊",1,"0.4-0.5-dup",17407,3
"004dcb8c1ab253d98717828c6ba9b1bb","金井恒太の初級講座第回","及川拓馬の初級講座",1,"0.5-0.6-dup",5481,3
"005a77282a6035271934d75fa2da71ef","カンフーリーグ","カンフーハッスル",1,"0.5-0.6-dup",5481,1
"005b283f99b0d36cc0fadcf0701a8058","リボルバー","エイプリルフールズ",1,"0.4-0.5-dup",17407,3
"00613883335bbe8efebc7d3e5b96fa00","月曜日のたわわ","金曜日のソロたちへ",1,"0.5-0.6-dup",5481,3
"006b1bb854d10dbc1bab5b0b9e9cc433","アトミック・ブロンド","マッドマックスサンダードーム",1,"0.3-0.4-dup",97954,2
"006b5a5987239ca3a5d51b6d7f2845c7","新・ミナミの帝王狙われた銀次郎","新・ミナミの帝王失われた絆",3,"0.7-0.8-dup",750,1
"0070b6ea89349492e208d2dec25e4e34","アンストッパブル","トゥ・ヘル",1,"0.3-0.4-dup",97954,2
"00759fb9317b8b352808b69431b8b607","クライマーズ・ハイ","クライマーズ",1,"0.8-0.9-dup",510,1
"00765ba281ab512570ca09e50b2c161f","ホテル・アルテミス","アルキメデスの大戦",1,"0.3-0.4-dup",97954,3
"007a23dc55dd5bdfe701a7b4e976415b","ターミナル","レッド・ハンター",1,"0.3-0.4-dup",97954,3
"0081b92850e2320b8ed0a145a44396b1","あなたへ","あなたの旅立ち綴ります",1,"0.4-0.5-dup",17407,3
"008299e17b9f84d0bc67944f3662a938","カルテット","スプリット",1,"0.4-0.5-dup",17407,3
"00835245f1aac3b3107b97be65143745","プライベート・ウォー","プライベート・レッスン",1,"0.6-0.7-dup",1887,2
"008df49f09eacb71a39e4ddfeb9ae452","Letstryソルトゲーム北海道のメガホッケ根魚","Letstryソルトゲーム仙台湾のSLJにLetstry",3,"0.5-0.6-dup",5481,2
"009292881446b77c9996ab1b4e206ba2","ドクター・スリープ","スタートレックディスカバリー",1,"0.4-0.5-dup",17407,2
"0097fabbed73bcfec196da0ac7866de8","イ・サン","ブレイク・タウン",1,"0.5-0.6-dup",5481,1
"00aa8f74f3dead4310b43fc699fd59dd","ノー・サレンダー","ダンサー・イン・ザ・ダーク",1,"0.4-0.5-dup",17407,2
"00ab43e65f2b1e7905f54d903bd3f659","ライン・オブ・デューティ汚職特捜班","シェイプ・オブ・ウォーター",1,"0.4-0.5-dup",17407,3
"00ad5cf3e6f0a07cb59bf12373d7c628","ハート・オブ・マン","バットマンリターンズ",1,"0.3-0.4-dup",97954,3
"00ade2942f48d03d208c40f7b1cd9b84","ドラッグ・チェイサー","ブラック・レイン",1,"0.4-0.5-dup",17407,2
"00b0328807e59ff6fb9b06797e655739","midsミッドナインティーズ","フラットライナーズ",1,"0.3-0.4-dup",97954,3
"00b064bcdd5c087d041e5515b58831f5","ネイビーシールズウォー・ファイター","ザ・特殊部隊ネイビーシールズ",1,"0.5-0.6-dup",5481,2
"00b543d47965e74eebadd6146ac7d93e","バクテン","サクガン",1,"0.5-0.6-dup",5481,1
"00b7a68e89e5d0dc12bcd15365b93c46","ホリデイ","イエスタデイ",1,"0.4-0.5-dup",17407,2
"00b7bd44ea47060c76b92a079a8c76f9","仮面ライダー令和ザ・ファースト・ジェネレーション","仮面ライダー",2,"0.4-0.5-dup",17407,2
"00b9f656a6fd60e10ce03320cebf47b0","日本極道戦争第五章","極道の紋章レジェンド",1,"0.3-0.4-dup",97954,2
"00bd196cdb07621ac8472b5ecfbf321f","レッド・ウォーターサメ地獄","ウォーターボーイズ",1,"0.4-0.5-dup",17407,3
"00bf02e5fa987ffb2787df68949749ea","ザ・スイッチ","ザ・デプス",1,"0.5-0.6-dup",5481,2
"00c19a1a9a0c3c778a5eb389c29f9741","ミッドナイト・ランナー","ナイト・サバイバー",1,"0.5-0.6-dup",5481,3
"00c1ee10bf2fd1df3f786910af950cf5","スリー・ジャスティス孤高のアウトロー","アガサ・クリスティー復讐の女神",1,"0.3-0.4-dup",97954,3
"00c2316ce18711990b8bc03c662b68df","第期韓国竜星戦No","第期竜星戦予選",1,"0.6-0.7-dup",1887,2
"00c8d45fe9cc6333390f38efead585a2","ステージド俺たちの舞台アメリカ上陸","ステージド俺たちの舞台ステイホーム",3,"0.6-0.7-dup",1887,1
"00cc20ee50d18ae7e5c9ef90152a6ae3","ポップスター","スローターハウス・ルールズ",1,"0.3-0.4-dup",97954,2
"00cdb55cccea5fdbe96ae5b1cc7212e5","トレマーズ","レスラー",1,"0.4-0.5-dup",17407,2
"00cef0da18f02f2774b1ee5eeb946814","ドラゴン・タトゥーの女","ドラゴンロード",1,"0.5-0.6-dup",5481,1
"00d6b0f1ae2ba05cf07e4df852461f5a","ボーン・コレクター","ソーイング・ビー",1,"0.4-0.5-dup",17407,1
"00e184d96bb625fdb17e1d3ac828289c","世にも怪奇な物語","世にもエロスな物語耽美",1,"0.6-0.7-dup",1887,2
"00e1f9937f350a5d1364ca771877de29","劇場版名探偵コナン世紀末の魔術師","劇場版名探偵コナン純黒の悪夢",2,"0.6-0.7-dup",1887,1
"00e4c13e76d76324b93b390d5f56ab4c","マイ・リトル・ブライド","ヘイトフル・エイト",1,"0.5-0.6-dup",5481,2
"00ef2559f661641fbfa607c0a405d8fc","新・ミナミの帝王光と影","新・ミナミの帝王失われた絆",3,"0.6-0.7-dup",1887,1
"00f5aabccfda08be7e3e3c3ea910b494","劇場版ポケットモンスターDPアルセウス超克の時空へ","劇場版ポケットモンスターDP幻影の覇者ゾロアーク",2,"0.6-0.7-dup",1887,2
"00f96bff314fae73080066c0a29c67b9","オレンジデイズ","一週間フレンズ",1,"0.4-0.5-dup",17407,3
"00fd839e9d9b88af7ca757f1c1ea286d","新網走番外地さいはての流れ者","新網走番外地吹雪の大脱走",2,"0.5-0.6-dup",5481,2
"01006aa8e7855424d221bf89601c915f","詰碁コーナー第回","詰碁コーナー",3,"0.8-0.9-dup",510,1
"010692de0f190d663fc580b36f34cbcf","デッドマン・ダウン","アマンダと僕",1,"0.4-0.5-dup",17407,3
"010775d45f3201e8b4f159ee52096191","君は愛にふさわしい","恋愛は面倒くさいけど寂しいのはイヤ",1,"0.3-0.4-dup",97954,2
"0108c6fdc47181a20f93cbc458bda852","ザ・レジェンド","ザ・ヘラクレス",1,"0.4-0.5-dup",17407,3
"010ae8124ee6906dd2c3cf233ba57b91","メゾン・ド・ポリス","アメリカン・ホラー・ストーリー",1,"0.4-0.5-dup",17407,1
"010f60e1e147f7f8af28b8484803d92f","夜の女流棋聖戦セレクション第十七期ドコモ杯女流棋聖戦","夜の銀河戦セレクション第期銀河戦",1,"0.5-0.6-dup",5481,1
"0111668ad87ee65a9309e143e112d21a","劇場版ポケットモンスターピカピカ星空キャンプ","劇場版ポケットモンスターAG裂空の訪問者デオキシス",2,"0.5-0.6-dup",5481,1
"011186ddae9bd3e8f37643ab32a0f65c","スノーピアサー","ノー・サレンダー",1,"0.5-0.6-dup",5481,3
"01142d1e124345bf6dd684ea51e3a4e9","インクレディブル・ハルク","インディアン・ピンク",1,"0.5-0.6-dup",5481,2
"011490bb7bbb77c164c87f680b726095","ディア・ハンター","レディ・オア・ノット",1,"0.4-0.5-dup",17407,3
"0114b0be5eab094a55b12a17ae41251a","ブルー・ダイヤモンド","ファンタジー・アイランド",1,"0.4-0.5-dup",17407,3
"0115d1836653dbb0df42f8a792ac2bb7","名探偵ポワロ猟人荘の怪事件","名探偵ポワロミューズ街の殺人",2,"0.5-0.6-dup",5481,3
"011911b572f742670175ccf75432fd23","ザ・キッチン","PMCザ・バンカー",1,"0.4-0.5-dup",17407,3
"011ad8cc2c2b344edbea0618992ec43a","スパルタン皆殺しの戦場","スーパーウィングス",1,"0.3-0.4-dup",97954,3
"0129f8baa682dff35726a6826c1554b7","バカリズムライブ類","バカリズムライブ",1,"0.9-1.0-dup",139,1
"012a19830e170e06333824792819b198","パフューム恋のリミットは時間","ニュー・ミュータント",1,"0.3-0.4-dup",97954,3
"012c088a82976630e3f5a9a19d1733b4","仮面ライダーアマゾン","泡沫の夏トライアングル・ラブ",1,"0.3-0.4-dup",97954,2
"012c0c2ec4b4b8dcd7b2884212145f95","そらのレストラン","ヒットマン",1,"0.3-0.4-dup",97954,2
"012cff3e503c47cf4c5ff9e98d50ae96","フラッシュバック","ラブ×ドック",1,"0.4-0.5-dup",17407,3
"012ecad2193a3b88ae36ac88b60475f3","パリに見出されたピアニスト","蛇にピアス",1,"0.4-0.5-dup",17407,2
"012fe61ab2bb0d8e12ff1c44f441b0f9","ヘルボーイディレクターズ・カット版","レディ・マエストロ",1,"0.3-0.4-dup",97954,3
"0131cbc8f03f28f75bbd29d87404a42f","仮面ライダーストロンガー","ザ・スパイゴースト・エージェント",1,"0.3-0.4-dup",97954,3
"013b84a6b7b2f1365709dfe38e57bd59","クライマーズ・ハイ","マーティン・エデン",1,"0.3-0.4-dup",97954,3
"013d3d0bd20383668d06269ca9a8d02b","江戸川乱歩シリーズ白い人魚の美女","江戸川乱歩シリーズ天使と悪魔の美女",3,"0.7-0.8-dup",750,1
"0142535ab003a89eeeb516f90380f0bd","すのはら荘の管理人さん","うらみちお兄さん",1,"0.3-0.4-dup",97954,3
"01466d24a600c41f71232f90675cb33c","仮面ライダー電王プリティ電王とうじょう","仮面ライダー電王",2,"0.5-0.6-dup",5481,2
"01468ce85476adf776442cc7e6d59f37","スパイ・レジェンド","ジミ・ヘンドリックスロック・レジェンズ",1,"0.4-0.5-dup",17407,3
"014f2d052c84ebb9d8737c40e11dfa30","エクスプローラー社会から消える日本人","バクラウ地図から消された村",1,"0.3-0.4-dup",97954,3
"014fff72e5db1670e2219cd4deea7424","ローレライ","ロッキー最後のドラマ",1,"0.4-0.5-dup",17407,3
